scenario,draw,npv_usd
base,718,7503520.8580155205
base,719,8728748.663840003
base,720,6079734.3785810545
base,721,8836770.040473182
base,722,7190949.665854299
base,723,7997424.72557906
base,724,5399876.752277793
base,725,4046321.100944807
base,726,3101942.5008209795
base,727,4160212.738423784
base,728,5313972.423167737
base,729,1733940.4522583848
base,730,5768877.799593008
base,731,7664590.189827202
base,732,2255042.071673971
base,733,4391624.517411541
base,734,11291016.003275199
base,735,6731957.179017007
base,736,6976808.263540838
base,737,3395533.7203962887
base,738,4655154.72260101
base,739,3694132.63630911
base,740,5392800.07190828
base,741,6869231.546710668
base,742,5344747.085092315
base,743,4224728.487295615
base,744,6355686.905585042
base,745,3229011.7645253786
base,746,3169613.7769878944
base,747,3082705.861263768
base,748,6915420.653205499
base,749,4270648.112413262
base,750,6769854.672471855
base,751,9026439.612638853
base,752,1420201.0677556754
base,753,6928599.786934367
base,754,6893234.052902342
base,755,8083032.717883256
base,756,5373709.682777197
base,757,7396211.881785037
base,758,5920100.254748839
base,759,3283679.0701432223
base,760,4753613.101543835
base,761,3586806.23259913
base,762,9402426.442606134
base,763,3979262.0062712175
base,764,8224327.070210641
base,765,5346413.056856823
base,766,1910310.8209121167
base,767,1758508.3589829921
base,768,4644115.274345599
base,769,5370654.286275431
base,770,4701137.713227622
base,771,6919489.257021578
base,772,5303791.816200836
base,773,7430593.177535241
base,774,3891907.010915161
base,775,7165669.540224851
base,776,5542259.182869898
base,777,7785850.724213979
base,778,4547153.322137442
base,779,3900013.253877075
base,780,7619643.997133333
base,781,3618631.228168912
base,782,4646970.499969437
base,783,6604603.794348245
base,784,4972206.078615256
base,785,3904522.986969586
base,786,10810929.244294629
base,787,5430491.486231871
base,788,8123036.073071345
base,789,3539380.337970165
base,790,5025253.856421242
base,791,13369526.423955446
base,792,5841320.607216479
base,793,1758828.4151900928
base,794,4417068.0606796285
base,795,5886350.226423027
base,796,2531257.228528109
base,797,5659604.468150658
base,798,2201957.057090017
base,799,9002577.118752142
base,800,5976888.366486527
base,801,4727605.970322332
base,802,6562152.889634978
base,803,2676297.9899057415
base,804,7691826.241863501
base,805,6111528.163449453
base,806,7182568.976666977
base,807,6733942.335257301
base,808,5942201.862681363
base,809,4141483.7820464824
base,810,5515298.959435988
base,811,2973688.301876247
base,812,7428861.58717365
base,813,9383499.393381868
base,814,2000820.0208022757
base,815,6406476.298927493
base,816,4869121.696350042
base,817,3764016.2795312954
base,818,4681802.994712737
base,819,3497823.9776740726
base,820,2874028.464004608
base,821,7632960.38237284
base,822,5545705.259407536
base,823,6332101.250372978
base,824,4493236.71468496
base,825,8351562.032747591
base,826,9091630.788081793
base,827,7654194.63117531
base,828,4890412.568468471
base,829,8535190.084034357
base,830,6526679.4515235685
base,831,4657918.562945813
base,832,3536114.5337727135
base,833,2604743.727027794
base,834,5813907.633845771
base,835,8515604.534829482
base,836,2669277.157360946
base,837,6669360.152523834
base,838,5358211.74351881
base,839,5800937.357671234
base,840,10971264.79321352
base,841,7085192.536086002
base,842,5668129.132905811
base,843,2838094.4177872837
